City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Japura,ID,1667600549,-0.3167,102.35,100,99,71.91,3.02
Nemuro,JP,1667600768,43.3236,145.575,3,57,42.04,8.48
Kachīry,KZ,1667600768,53.0675,76.1036,100,68,39.67,19.44
Long Xuyen,VN,1667600769,10.3833,105.4167,71,95,75.15,6.69
Fenoarivo,MG,1667600769,-18.933,47.4354,75,100,64.47,3.44
Hasaki,JP,1667600770,35.7333,140.8333,98,57,54.21,15.66
Verkhnyaya Sinyachikha,RU,1667600770,57.976,61.6673,100,94,27.61,13.04
Klin,RU,1667600770,56.3333,36.7333,98,98,31.06,3.15
Gaoua,BF,1667600770,10.2992,-3.2508,72,31,78.39,2.26
Palmer,US,1667600577,42.1584,-72.3287,75,64,65.75,11.5
Arrecife,ES,1667600771,28.963,-13.5477,20,73,69.78,9.22
Husavik,IS,1667600692,66.0449,-17.3389,100,81,36.66,7.36
Panama City,PA,1667600771,8.9936,-79.5197,40,87,79.45,8.05
Campoverde,PE,1667600771,-8.4753,-74.8058,31,31,87.49,1.54
Pueblo Nuevo,MX,1667600771,23.3833,-105.3833,0,35,66.72,6.76
Feijó,BR,1667600771,-8.1642,-70.3536,58,42,82.08,0.2
Amga,RU,1667600771,60.8953,131.9608,95,100,-15.54,2.95
Tubualá,PA,1667600772,9.5167,-79.0333,100,89,76.87,13.33
Bahía Blanca,AR,1667600773,-38.7196,-62.2724,89,28,79.45,11.63
Auki,SB,1667600774,-8.7676,160.7034,43,70,83.64,1.07
Cămărzana,RO,1667600774,48.0,23.3167,97,68,52.83,4.54
Kumul,CN,1667600774,42.8,93.45,64,26,45.34,6.22
Beloha,MG,1667600774,-25.1667,45.05,98,84,71.83,11.52
Lagoa,PT,1667600774,39.05,-27.9833,100,82,63.72,8.52
Port Hardy,CA,1667600774,50.6996,-127.4199,100,100,42.98,5.75
Srednekolymsk,RU,1667600775,67.45,153.6833,57,96,-21.15,1.36
Buraidah,SA,1667600559,26.326,43.975,88,34,70.25,9.55
Qingyuan,CN,1667600775,23.7,113.0333,100,90,62.58,5.66
Marzuq,YE,1667600775,14.4,46.4667,2,67,67.01,1.68
New Castle,US,1667600776,41.0037,-80.347,0,51,70.88,4.61
Tasiilaq,GL,1667600776,65.6145,-37.6368,100,87,32.16,22.32
Verkhotur'ye,RU,1667600776,58.8627,60.8054,100,92,23.34,11.95
Hualmay,PE,1667600776,-11.0964,-77.6139,7,74,66.24,11.95
Lhokseumawe,ID,1667600776,5.1801,97.1507,100,86,76.21,5.21
Araguaçu,BR,1667600776,-12.9306,-49.8264,97,61,79.81,1.03
Ukiah,US,1667600777,39.1502,-123.2078,75,63,68.43,3.0
Waliso,ET,1667600692,8.5333,37.9833,1,69,55.98,9.62
Petropavlovsk-Kamchatskiy,RU,1667600477,53.0452,158.6483,40,100,28.99,2.24
Derzhavīnsk,KZ,1667600777,51.1,66.3167,40,85,27.16,24.2
Hurghada,EG,1667600646,27.2574,33.8129,0,43,71.64,9.22
Suntar,RU,1667600778,62.1444,117.6319,100,93,15.48,7.27
Salinas,US,1667600778,36.6777,-121.6555,0,42,67.98,9.22
Lakes Entrance,AU,1667600778,-37.8811,147.981,69,73,64.17,3.06
Ávato,GR,1667600779,40.9667,24.8,89,81,60.94,2.35
Bonavista,CA,1667600779,48.6499,-53.1147,65,81,42.01,4.03
Monforte de Lemos,ES,1667600780,42.5216,-7.5142,20,89,48.58,1.83
Rabo de Peixe,PT,1667600780,37.8,-25.5833,75,100,70.29,5.75
Arrondissement de Poitiers,FR,1667600721,46.5833,0.3333,0,59,43.25,5.75
Alghero,IT,1667600781,40.5589,8.3181,75,87,53.69,8.05
Vardø,NO,1667600781,70.3705,31.1107,100,87,37.38,14.97
Souillac,MU,1667600781,-20.5167,57.5167,75,88,71.98,2.3
Riyadh,SA,1667600539,24.6877,46.7219,75,47,71.74,7.36
Cabra,ES,1667600781,37.4725,-4.4421,81,76,59.54,1.83
Leh,IN,1667600782,34.1667,77.5833,56,57,31.8,1.9
Najrān,SA,1667600782,17.4924,44.1277,3,34,68.65,1.3
Tétouan,MA,1667600782,35.5711,-5.3724,20,73,68.77,4.61
Hofn,IS,1667600782,64.2539,-15.2082,97,73,39.2,7.83
Padang,ID,1667600563,-0.9492,100.3543,100,86,76.55,3.11
Kupang,ID,1667600783,-10.1667,123.5833,100,77,80.1,4.34
Scottsbluff,US,1667600783,41.8666,-103.6672,0,44,43.92,8.99
Udachny,RU,1667600783,66.4167,112.4,97,84,8.46,15.3
Bubaque,GW,1667600783,11.2833,-15.8333,75,55,85.39,4.45
Mahon,ES,1667600784,39.8885,4.2658,0,55,61.36,6.91
Shakawe,BW,1667600784,-18.3667,21.85,73,82,67.77,4.32
Empório,GR,1667600785,40.4833,21.55,98,57,55.29,5.19
Zhigansk,RU,1667600785,66.7697,123.3711,100,95,5.38,16.78
Kuril'sk,RU,1667600785,45.2333,147.8833,73,56,41.88,18.86
Mayahi,NE,1667600785,13.9553,7.6712,67,18,77.58,10.07
Bucak,TR,1667600785,37.4592,30.595,0,52,45.12,1.5
San Francisco,US,1667600786,37.7749,-122.4194,75,72,67.98,8.99
Yashkul',RU,1667600786,46.1711,45.3435,100,89,45.41,7.14
Palu,ID,1667600786,-0.8917,119.8707,95,94,75.02,2.86
Pombal,BR,1667600786,-6.7703,-37.8017,100,66,79.61,10.51
São Lourenço do Sul,BR,1667600647,-31.3653,-51.9783,34,73,60.46,9.95
Rosetta,EG,1667600787,31.4044,30.4164,9,58,67.87,2.35
Coyhaique,CL,1667600787,-45.5752,-72.0662,0,25,78.75,8.05
Zhigalovo,RU,1667600787,54.8097,105.1578,100,98,26.74,3.38
Teguise,ES,1667600787,29.0605,-13.564,20,73,66.42,9.22
Tomatlán,MX,1667600787,19.9333,-105.25,4,47,86.81,3.87
Acapulco de Juárez,MX,1667600787,16.8634,-99.8901,0,74,84.02,12.66
Tura,IN,1667600787,25.5198,90.2201,0,87,64.47,4.0
Amantea,IT,1667600788,39.1332,16.0746,100,57,66.25,5.44
Mae Hong Son,TH,1667600788,19.3003,97.9685,75,94,69.94,0.0
Araouane,ML,1667600788,18.9048,-3.5265,0,13,79.07,7.56
Pāli,IN,1667600788,25.7667,73.3333,25,31,74.91,6.24
Boyabat,TR,1667600788,41.4689,34.7667,59,87,48.65,1.05
Dickinson,US,1667600528,29.4608,-95.0513,100,86,83.12,16.11
Sungai Raya,ID,1667600789,0.7,108.9,100,79,76.77,3.56
Point Pedro,LK,1667600789,9.8167,80.2333,99,86,78.4,8.97
Goderich,CA,1667600634,43.7501,-81.7165,100,59,66.52,17.27
Camabatela,AO,1667600789,-8.1881,15.375,94,99,63.23,3.29
Sinnamary,GF,1667600789,5.3833,-52.95,100,83,78.1,5.55
Magistral'nyy,RU,1667600790,56.1725,107.4458,100,97,25.93,1.57
Rajapalaiyam,IN,1667600790,9.45,77.5667,100,84,75.06,1.28
Omsukchan,RU,1667600790,62.5333,155.8,100,96,8.71,7.4
Luangwa,ZM,1667600790,-15.6167,30.4167,50,65,76.89,3.04
Harrisburg,US,1667600790,40.2737,-76.8844,75,72,69.73,5.75
Yeniseysk,RU,1667600790,58.4497,92.1703,100,93,26.8,1.95
Dicabisagan,PH,1667600791,17.0818,122.4157,84,86,76.96,2.33
Port Lincoln,AU,1667600791,-34.7333,135.8667,74,69,61.68,11.1
Novobirilyussy,RU,1667600791,56.9514,90.6661,19,95,23.27,0.36
Jacmel,HT,1667600791,18.2342,-72.5347,20,80,82.24,0.92
Bilibino,RU,1667600792,68.0546,166.4372,20,83,-9.38,8.21
Acaraú,BR,1667600792,-2.8856,-40.12,43,82,79.16,10.87
Rocha,UY,1667600792,-34.4833,-54.3333,5,82,55.13,7.2
Deputatsky,RU,1667600792,69.3,139.9,54,87,-15.23,3.31
Road Town,VG,1667600792,18.4167,-64.6167,20,78,80.64,9.22
Coquimbo,CL,1667600792,-29.9533,-71.3436,0,72,58.73,11.5
Lieksa,FI,1667600793,63.3167,30.0167,91,88,38.19,8.39
Kouqian,CN,1667600793,43.6391,126.4578,3,55,27.59,7.27
Marabu,MY,1667600793,4.4148,114.0089,40,94,75.34,4.61
Hīt,IQ,1667600793,33.6416,42.8251,0,30,65.53,4.47
Celestún,MX,1667600794,20.8667,-90.4,72,59,87.4,11.7
Buala,SB,1667600794,-8.145,159.5921,46,72,83.79,3.4
Varāmīn,IR,1667600794,35.3242,51.6457,1,31,57.76,4.25
Bantry,IE,1667600526,51.6833,-9.45,100,94,54.79,13.73
Mount Gambier,AU,1667600794,-37.8333,140.7667,71,71,54.99,5.7
São João da Barra,BR,1667600577,-21.6403,-41.0511,5,70,69.89,12.28
Saint Anthony,US,1667600795,45.0205,-93.218,0,71,43.02,8.05
Port Blair,IN,1667600795,11.6667,92.75,64,71,78.3,6.46
Mizoch,UA,1667600795,50.4,26.15,68,80,40.48,8.57
Mosquera,CO,1667600795,4.7059,-74.2302,75,77,59.09,9.22
Piaçabuçu,BR,1667600796,-10.4056,-36.4344,100,95,72.91,9.69
Grand Gaube,MU,1667600796,-20.0064,57.6608,93,79,72.0,5.01
Sydney,AU,1667600710,-33.8679,151.2073,40,67,68.56,4.61
Samarai,PG,1667600796,-10.6167,150.6667,45,76,82.62,9.86
Mayskiy,RU,1667600796,47.6931,40.1025,100,87,38.61,3.02
Tabas,IR,1667600797,33.5959,56.9244,0,44,59.22,4.61
Edd,ER,1667600797,13.9297,41.6925,3,74,81.72,6.87
Tromsø,NO,1667600797,69.6496,18.957,0,93,36.37,3.44
Jaffna,LK,1667600798,9.6685,80.0074,93,88,77.56,9.17
Luk Pu,CN,1667600798,23.1742,112.2809,100,96,62.83,2.37
Santa Rosa,PH,1667600798,14.3122,121.1114,14,89,77.09,6.4
Kastamonu Province,TR,1667600769,41.5,33.6667,63,79,44.28,0.98
Pizarro,CO,1667600798,4.9533,-77.366,100,93,75.02,2.3
Mospyne,UA,1667600798,47.8908,38.064,79,86,41.72,3.53
Ghorāwal,IN,1667600799,24.7667,82.7833,0,62,66.36,2.77
Warrnambool,AU,1667600799,-38.3833,142.4833,1,78,54.46,8.86
Cockburn Town,TC,1667600799,21.4612,-71.1419,36,71,79.97,12.1
Shelburne,CA,1667600799,44.0787,-80.2041,100,66,63.9,17.76
Yong’an,CN,1667600799,39.6957,113.6871,0,47,32.95,2.26
Bucerías,MX,1667600799,20.75,-105.3333,0,70,84.97,9.22
Laibin,CN,1667600800,23.7,109.2667,100,48,67.62,10.94
Raudeberg,NO,1667600800,61.9875,5.1352,100,1,45.27,4.34
Serro,BR,1667600800,-18.6047,-43.3794,96,85,60.67,2.84
Ķegums,LV,1667600800,56.7451,24.7244,7,90,42.35,7.56
Nabire,ID,1667600800,-3.3667,135.4833,99,86,77.63,2.3
San Cristobal,VE,1667600800,7.7669,-72.225,100,84,73.58,4.5
Kolda,SN,1667600801,12.8833,-14.95,89,37,75.72,0.98
Wangaratta,AU,1667600801,-36.3667,146.3333,5,65,64.17,4.43
Lamu,KE,1667600801,-2.2717,40.902,94,84,79.02,10.18
Ponta Porã,BR,1667600801,-22.5361,-55.7256,0,46,71.51,4.61
Key Biscayne,US,1667600801,25.6937,-80.1628,75,69,80.62,8.05
Xai-Xai,MZ,1667600802,-25.0519,33.6442,100,82,74.39,8.9
Kānt,IN,1667600802,27.8,79.8,0,73,68.72,5.3
Pangnirtung,CA,1667600802,66.1451,-65.7125,100,62,14.0,9.22
Challapata,BO,1667600802,-18.9,-66.7667,0,6,62.37,8.01
Fort Nelson,CA,1667600802,58.8053,-122.7002,100,79,13.95,11.5
Coihueco,CL,1667600519,-36.6167,-71.8333,0,63,65.14,11.5
Hobyo,SO,1667600803,5.3505,48.5268,36,73,80.01,7.83
Karratha,AU,1667600803,-20.7377,116.8463,4,54,75.87,8.08
Esperance,AU,1667600803,-33.8667,121.9,1,72,58.78,12.21
Rafsanjān,IR,1667600643,30.4067,55.9939,10,52,60.6,8.01
Marsh Harbour,BS,1667600804,26.5412,-77.0636,2,64,78.89,19.39
Pandan,PH,1667600804,14.0453,124.1694,87,87,79.83,10.33
Kayes,ML,1667600804,14.0,-11.0,1,15,79.86,4.03
Khāsh,IR,1667600804,28.2211,61.2158,92,46,62.2,1.5
Mandalgovi,MN,1667600804,45.7625,106.2708,96,48,25.74,5.91
Berbera,SO,1667600805,10.4396,45.0143,8,76,80.83,6.73
Kendari,ID,1667600805,-3.945,122.4989,99,92,76.53,2.26
Ovalle,CL,1667600805,-30.5983,-71.2003,91,40,69.8,5.82
Kalakamati,BW,1667600805,-20.5929,27.3121,100,83,65.37,4.7
Kasongo-Lunda,CD,1667600805,-6.4667,16.8167,100,99,69.8,2.28
Ulaangom,MN,1667600805,49.9811,92.0667,100,89,23.97,2.01
Gelibolu,TR,1667600806,40.4103,26.6708,64,67,49.86,3.24
Kisiwani,TZ,1667600806,-4.1333,37.95,80,88,67.23,3.49
Formosa do Rio Preto,BR,1667600806,-11.0483,-45.1931,98,82,73.35,6.76
Chegdomyn,RU,1667600807,51.1167,133.0167,100,88,15.87,1.77
Drumheller,CA,1667600807,51.4617,-112.7101,63,80,24.13,10.36
Wattegama,LK,1667600807,6.7989,81.4808,100,96,73.11,2.59
Urucará,BR,1667600808,-2.5364,-57.76,96,70,80.37,2.1
Marawi,PH,1667600808,7.9986,124.2928,87,92,68.97,1.5
Ust'-Ilimsk,RU,1667600808,58.0006,102.6619,97,95,22.3,1.43
Bell Ville,AR,1667600808,-32.6259,-62.6887,95,19,78.67,11.74
Labuhan,ID,1667600808,-6.8844,112.2051,100,84,79.27,4.99
Oistins,BB,1667600809,13.0667,-59.5333,40,89,78.89,5.75
Wuchang,CN,1667600809,44.9143,127.15,35,54,27.32,12.1
Oulainen,FI,1667600809,64.2667,24.8,83,95,39.81,6.91
Takaka,NZ,1667600810,-40.85,172.8,2,47,63.55,2.86
Redcliffe,AU,1667600810,-27.2307,153.0973,40,64,72.21,9.22
Chernyshevskiy,RU,1667600810,63.0128,112.4714,99,95,11.97,5.5
Pascagoula,US,1667600810,30.3658,-88.5561,100,77,75.92,11.5
Hanzhong,CN,1667600732,33.0728,107.0303,95,89,53.6,2.3
Saint Andrews,US,1667600811,34.0454,-81.1293,75,65,78.89,6.91
Batemans Bay,AU,1667600811,-35.7167,150.1833,9,61,62.1,3.6
Santa Cruz de La Palma,ES,1667600811,28.6835,-17.7642,100,73,73.54,11.5
Evensk,RU,1667600812,61.95,159.2333,100,92,21.11,29.75
Shiyan,CN,1667600812,32.6475,110.7781,94,90,50.14,0.36
Anori,BR,1667600812,-3.7728,-61.6442,98,69,79.5,1.32
Paracatu,BR,1667600812,-17.2222,-46.8747,99,70,67.08,1.92
Raja,SS,1667600812,8.4596,25.678,39,42,74.53,2.01
Omboué,GA,1667600813,-1.5746,9.2618,96,85,76.96,3.89
Ulladulla,AU,1667600813,-35.35,150.4667,22,62,63.86,5.53
Flin Flon,CA,1667600813,54.7682,-101.865,100,86,26.44,13.8
Talisay City,PH,1667600813,10.2447,123.8494,40,89,78.82,5.75
Kununurra,AU,1667600813,-15.7667,128.7333,59,83,78.78,8.05
Ahipara,NZ,1667600814,-35.1667,173.1667,2,64,64.78,10.09
Ontario,US,1667600814,34.0633,-117.6509,75,28,71.73,10.36
Kargasok,RU,1667600814,59.0556,80.8572,100,84,27.73,8.7
Schwabach,DE,1667600814,49.3292,11.0256,75,86,46.51,2.3
Forsytheganj,BY,1667600814,52.6333,29.7333,19,95,36.27,6.53
Aranos,NA,1667600815,-24.1333,19.1167,0,12,70.07,12.41
